index,iter,time,objective
0,0,33.79372187197208,-7559.59046224241
1,1,70.83721067094802,-7323.5015644642635
2,2,107.5604572479725,-7013.767090307875
3,3,146.2063666110039,-7287.130618546787
4,4,183.4792191799879,-6194.334056845036
5,5,223.9849937399626,-7946.622300729361
6,6,265.31899778699875,-6569.890689389088
7,7,310.0213067429066,-7999.883988983749
8,8,348.52596217596533,-8080.212662735677
9,9,385.9109656739235,-7273.26322846322
10,10,427.71770756697657,-7048.974418107816
11,11,471.1664042959213,-6933.929865263273
12,12,511.9170729979277,-8133.777575424998
13,13,553.7449752299785,-7120.548676948366
14,14,594.8042278709412,-7639.299670605747
15,15,639.0620035378932,-6767.0147593199035
16,16,678.2682231429816,-7225.361250198891
17,17,713.713807010889,-7392.826287759969
18,18,749.8930097309351,-6339.954788375751
19,19,787.6343394739628,-7131.79616559071
20,20,822.8110590729714,-7494.194125816422
21,21,852.4369042739868,-7717.767392805984
22,22,884.2175738089085,-6463.982718517074
23,23,914.3098540809154,-6939.4768448717805
24,24,945.739215622902,-6838.991350016459
25,25,981.1823082879781,-7450.080799781632
26,26,1011.310455510974,-7397.7212096598105
27,27,1042.7911962559224,-7984.381769018899
28,28,1072.0638127920627,-7799.85169717268
29,29,1103.8977145299912,-6205.258470452421
30,30,1133.2227647230625,-6277.068247595622
31,31,1165.116275918007,-6708.871759400329
32,32,1195.3416835348605,-7680.400680085758
33,33,1227.729446907997,-7359.798924938035
34,34,1257.4760083699227,-7916.981618654459
35,35,1290.1313837399482,-6389.401428038496
36,36,1321.6771608178615,-7206.405712238731
37,37,1354.296660987854,-7045.376172314098
38,38,1384.6577716219426,-7191.58418226347
39,39,1418.0138707489966,-6862.217002466117
40,40,1451.4191917898654,-7411.53421014216
41,41,1484.0279394350052,-5898.933131289795
42,42,1515.061793735981,-7678.778551011708
43,43,1547.1199207260609,-6641.47494825717
44,44,1577.2741817748547,-6820.945523790534
45,45,1609.025548892021,-6281.688939036652
46,46,1639.0026534998417,-7587.205497756476
47,47,1670.2884948780536,-7838.943668503365
48,48,1705.3594212579728,-7568.326703579103
49,49,1738.9325598859787,-7566.36531649464
50,50,1771.4267886810303,-6882.618997156504
51,51,1801.3994068689346,-7611.218287766206
52,52,1833.2368903520107,-7296.332814213463
53,53,1863.5270390548706,-6502.073336074485
54,54,1895.2668846700192,-7387.576371156321
55,55,1925.4880919320583,-7236.006570345226
56,56,1956.976912093878,-7059.370443950599
57,57,1986.7621052680015,-7522.66839187435
58,58,2017.5268447840215,-7040.590715423361
59,59,2054.4338618409633,-7926.574389432161
60,60,2087.1563511538507,-7590.973784576465
61,61,2121.942273527861,-7248.181940233686
62,62,2152.4159716320037,-7088.263915910271
63,63,2184.854686239004,-7985.273995664416
64,64,2215.7018388819693,-7164.786121224929
65,65,2247.7405907669067,-6606.22184745291
66,66,2277.6857106769085,-6971.262438306665
67,67,2310.0288938720228,-7466.756596771912
68,68,2339.6579688608645,-7306.324392638644
69,69,2371.773585273981,-7421.903619602595
70,70,2401.5679786188603,-6521.926651136891
71,71,2433.3574129550457,-7257.123223152312
72,72,2464.231370595932,-7668.520985880541
73,73,2495.917254299879,-7706.8295317102875
74,74,2528.9738173048495,-8225.124708605332
75,75,2561.97393916893,-7956.925238317794
76,76,2596.6165834989547,-7461.937542911339
77,77,2629.2410524849893,-6635.963379040389
78,78,2663.5050890438556,-6523.464428125876
79,79,2696.4562780709266,-7014.577598917604
80,80,2727.5365532200335,-7318.6351881828505
81,81,2759.513046594858,-7154.005036745193
82,82,2789.9931300640105,-6332.964453528864
83,83,2821.776625540018,-7155.189992053383
84,84,2853.256214781046,-6833.042020383105
85,85,2884.6410160889627,-7125.198938923954
86,86,2914.8512258410456,-6544.571938880275
87,87,2946.7530777888296,-5857.280807591976
88,88,2977.0284818480013,-7039.797893051868
89,89,3011.8803676559924,-5253.010035610826
90,90,3044.1502262148856,-7395.317722525269
91,91,3076.038541040897,-7609.6781265665395
92,92,3106.977014621973,-7601.954692704314
93,93,3139.5671700210573,-7439.9617141648305
94,94,3176.3350303139687,-7295.835543373591
95,95,3207.6984857189655,-7791.2808842833965
96,96,3239.9719597558974,-7620.781187255192
97,97,3270.758864835024,-7215.914903155947
98,98,3302.517649041891,-5925.733704087488
99,99,3336.9388171730043,-6854.490264573409
100,100,3368.0243769109247,-8008.081870849215
101,101,3402.809852249861,-7660.874797296225
102,102,3434.7717879719735,-8143.835951763997
103,103,3466.6240648598673,-7775.202973086303
104,104,3498.0461844038964,-6913.511842331067
105,105,3529.762976791859,-7258.090167542118
106,106,3559.8853787789344,-7390.653666166901
107,107,3591.805386272907,-6658.998722539059
108,108,3622.460995707035,-8012.337926656928
109,109,3654.097712528944,-5975.8812614053895
110,110,3684.480580575943,-7776.355549892383
111,111,3716.7244364230633,-7816.047762283788
112,112,3751.045692285061,-7200.504069658765
113,113,3784.9464736139776,-6780.064976438125
114,114,3818.636230777025,-7785.126694750787
115,115,3852.0853888790607,-7272.815341996921
116,116,3884.829794339895,-6710.846923669273
117,117,3917.25798527503,-8604.471952440232
118,118,3947.503058116913,-6956.939946441416
119,119,3980.0062760338783,-5898.54907929484
120,120,4010.058524111986,-6707.635353559097
121,121,4042.7819954178335,-7972.656592060019
122,122,4076.7062054388525,-7323.731225349089
123,123,4114.036758713961,-5876.926023618121
124,124,4150.285633088827,-6986.209845560399
125,125,4185.7584467890265,-7401.235593746689
126,126,4222.255271827936,-6410.715382075154
127,127,4253.844204722881,-7146.093784272627
128,128,4286.552333106994,-7200.076022937455
129,129,4319.879920338869,-7597.493844764636
130,130,4352.482485584021,-7257.482296538273
131,131,4384.460716048956,-6755.621537107009
132,132,4416.960701874971,-6619.063674994612
133,133,4448.169339807987,-6442.885180688146
134,134,4480.8019420838355,-7675.229979552575
135,135,4514.992690968037,-8060.06293295818
136,136,4550.317108047008,-7509.1524488395835
137,137,4582.0333882339,-7954.249184075052
138,138,4614.7374154889585,-7669.961771721696
139,139,4644.720116225958,-6781.861436044139
140,140,4676.782111371994,-7293.367013006658
141,141,4707.210068858862,-5830.061925205555
142,142,4739.42440841198,-6939.458701278136
143,143,4771.528438374996,-7535.631538012911
