index,iter,time,objective
0,0,17.339483221054078,-355.01456013860434
1,1,34.1771027212143,-319.7577496902862
2,2,50.77223810911178,-317.02432986656385
3,3,63.74654563403129,-317.1907310481372
4,4,75.87775516605377,-354.31568582301117
5,5,89.72582733416557,-325.416921545228
6,6,104.29727114319802,-373.8846183999287
7,7,119.25661645317078,-359.9688006114138
8,8,137.27544534516335,-337.011985394277
9,9,155.49208017921447,-350.6414286111516
10,10,174.5733829741478,-324.2318567912965
11,11,191.9599659972191,-338.92568256136383
12,12,206.09812758517265,-364.98704768232926
13,13,221.40273279213906,-346.28864529604874
14,14,233.48676171302796,-338.6430839507911
15,15,245.49211568713187,-355.6818638496128
16,16,261.46114251112937,-337.9264112867458
17,17,276.0014623770714,-340.5036911842077
18,18,291.13501828598976,-339.4531728523647
19,19,305.922840665102,-323.25881826309177
20,20,324.0961458501816,-357.6782473722179
21,21,341.1731047329903,-405.9493000975885
22,22,355.7878949701786,-340.20280957653546
23,23,370.15778141117096,-333.2111995280381
24,24,380.6977180171013,-394.8241024058019
25,25,396.298384608984,-347.57663952608016
26,26,409.23916692209247,-310.07641098571213
27,27,424.49812510204316,-354.33647764817107
28,28,439.75025164318083,-339.1814553718528
29,29,456.0438158800602,-374.1581899883716
30,30,468.89276542401313,-299.1436413930844
31,31,482.45201408720015,-353.3816059659252
32,32,496.6466588690281,-376.63407560840494
33,33,512.4271811130047,-360.70729838718614
34,34,527.041338574171,-341.5774382012509
35,35,540.6969160330295,-303.4273627980077
36,36,556.2315306301117,-360.5234703325863
37,37,570.3630092880726,-342.6717478097781
38,38,584.1235965662003,-338.7792679428706
39,39,598.0068805069924,-337.32681811430444
40,40,614.4479008281231,-331.2040040478645
41,41,631.8517203600406,-331.5307812595362
42,42,649.3283368680477,-397.6672069777373
43,43,667.4680512320996,-328.12979462740896
44,44,679.4180881791115,-352.86401881849525
45,45,691.253823348999,-361.53526053602224
46,46,704.8332056341171,-338.88135980872914
47,47,719.559488309145,-341.3769260231066
48,48,735.8915892000198,-356.6789629706709
49,49,750.3163099319935,-316.00245442124464
50,50,764.5951902401447,-355.7198428375183
51,51,778.2832718331814,-361.4639421191089
52,52,794.9403446919918,-343.33017622074175
53,53,809.0639316260815,-350.03304652074354
54,54,824.1964049630166,-367.71570630509916
55,55,840.4253577082158,-347.17522968633835
56,56,854.7359927191734,-361.5806808053557
57,57,866.8700558950901,-324.7068530936973
58,58,878.6506920502186,-323.04908005371317
59,59,894.9594452140332,-325.94816631249574
60,60,910.8636419560909,-309.26790537246904
61,61,924.4441074550152,-375.56456229819327
62,62,940.8454022510052,-373.4952330559232
63,63,956.9701271982193,-380.16065393867353
64,64,972.7410199592114,-312.0759423329788
65,65,988.2868533210755,-322.8122925953664
66,66,1002.7008968570233,-346.42916088081796
67,67,1016.5481585650444,-340.6857673720647
68,68,1032.890078850031,-329.85741756932924
69,69,1044.8675314490795,-348.0007267143437
70,70,1060.4675857281684,-327.2521041375383
71,71,1076.9899403800964,-361.1595415774655
72,72,1090.6315911061763,-296.4979795546001
73,73,1102.5123868370056,-340.68076589798403
74,74,1116.9962831380367,-346.0169784531619
75,75,1128.815748405218,-334.33667525452944
76,76,1140.869844213009,-380.11262767499744
77,77,1155.2844330492019,-303.40231999860475
78,78,1172.2750930600166,-326.04429114998
79,79,1186.3063301210404,-286.73648796433906
80,80,1200.538151140213,-333.22786920084934
81,81,1216.8220794742108,-339.2414315111633
82,82,1233.403845227003,-332.72758715184705
83,83,1249.6040714712142,-312.5032547419302
84,84,1263.573034046173,-307.7145947105111
85,85,1280.1355507531166,-300.8944814736795
86,86,1292.2726131939887,-383.62548406861123
87,87,1307.321510265112,-345.03367814179785
88,88,1321.7930115041734,-359.55714718421166
89,89,1338.385350188017,-373.07950888746575
90,90,1356.2783939781189,-344.76442782252536
91,91,1371.7261592772006,-349.9532201758949
92,92,1383.8522803599835,-368.6286528517119
93,93,1397.5637792019845,-327.34921757188073
94,94,1407.5822487821579,-346.29184575045093
95,95,1421.846870146036,-313.88224253591
96,96,1437.611171147108,-344.8337603583676
97,97,1451.7710873770714,-347.1991450214851
98,98,1466.5089592580796,-347.85351374772233
99,99,1478.8175962982177,-352.46977984015535
100,100,1493.7155075399876,-385.7462532400757
101,101,1504.5327532320023,-332.25265620424113
102,102,1520.7785528831482,-317.65454857485776
103,103,1535.340547985077,-336.1901343691562
104,104,1551.5074788281918,-336.925900413911
105,105,1567.2239434521198,-326.92382021566294
106,106,1583.0131078460217,-304.7600026866477
107,107,1596.8484653651715,-325.9585665287005
108,108,1611.200613113165,-344.4439492072654
109,109,1626.9786780350207,-316.03891352386376
110,110,1641.0862107081414,-357.476168524373
111,111,1656.7739535582066,-362.94831994174166
112,112,1668.7903822979927,-327.9946839432929
113,113,1682.8770381181241,-361.760542617502
114,114,1697.2213551011087,-329.98689438771436
115,115,1711.3367836420537,-349.0517774223953
116,116,1727.7439613511563,-344.329161313925
117,117,1741.52043962121,-333.27518338084576
118,118,1755.6825740480424,-338.63163589403325
119,119,1770.0777679181099,-321.42053998819256
120,120,1784.2569443089963,-360.1283165915396
121,121,1798.5196663281918,-353.9250463496772
122,122,1812.8697611980438,-377.956446151315
123,123,1829.3130028021335,-311.94547318244105
124,124,1843.9217489800453,-366.33933865273264
125,125,1860.9289703571797,-385.7494268661485
126,126,1877.7013979802132,-363.8985463207107
127,127,1890.4914428060056,-334.3792709071771
128,128,1907.4384510982036,-355.66547534625715
129,129,1921.8244247720243,-334.60745350939044
130,130,1934.3808018631935,-346.6177717202862
131,131,1951.1795355741979,-333.5453931997581
132,132,1967.8257976930142,-372.9722708628252
133,133,1980.1922601361275,-355.44174388851513
134,134,1994.6828317890167,-354.73366040726273
135,135,2009.1250837540626,-368.93887028174174
136,136,2023.7959445362092,-331.8496240831033
137,137,2042.147212378025,-335.25223817176436
138,138,2056.750830794096,-308.87989691528225
139,139,2069.9951524891853,-359.3984852716815
140,140,2088.6188411691187,-347.5386491861411
141,141,2107.9680334780214,-352.13437980552783
142,142,2122.4334190471172,-375.15230066139213
143,143,2136.7601129791738,-339.1925633115983
144,144,2152.704823944092,-335.25277927234976
145,145,2162.8455766270163,-318.15208218667493
146,146,2181.309539302111,-337.57954330655866
147,147,2196.400079977989,-380.7070604587541
148,148,2215.9387468280793,-343.535112826705
149,149,2229.116023259163,-375.20966769634134
150,150,2244.8562627990245,-359.3806258021464
151,151,2259.2567087430953,-333.8063889933635
152,152,2275.6744438610076,-321.15295632216714
153,153,2289.780877747059,-338.1184033686677
154,154,2303.9664637451174,-337.1188652925945
155,155,2320.4170776660444,-347.1856513504444
156,156,2332.8205268371107,-328.0243425763201
157,157,2348.3394152560236,-381.2651796819329
158,158,2363.4354163401126,-351.6724729065724
159,159,2378.2778567521573,-336.40958706842594
160,160,2395.3252801611425,-362.67928076740225
161,161,2413.27693556118,-329.4247825646056
162,162,2428.4642324891092,-308.7601203967988
163,163,2449.6251195590494,-334.3301640211729
164,164,2462.5740227952006,-327.55261460232646
165,165,2480.4245145931245,-353.40460343300776
166,166,2499.300263404131,-386.7983087074987
167,167,2509.617985767126,-346.86727160005
168,168,2523.196544236183,-336.6746420623805
169,169,2544.0843790581225,-351.21487024985527
170,170,2561.8933065180777,-355.48100199845334
171,171,2578.161975045204,-318.9307540779421
172,172,2595.369793312073,-342.5191777572581
173,173,2607.5188727140426,-386.12333272656196
174,174,2623.044414497137,-375.3180029396083
175,175,2641.4331019420624,-371.01404554193635
176,176,2656.494560450077,-351.1604891706188
177,177,2669.344013327122,-334.72380241061416
178,178,2690.532854474068,-383.1735096222256
179,179,2706.5612214200496,-377.90231027260546
180,180,2718.4638297820093,-353.8787858586901
181,181,2732.450575720072,-329.73114652821795
182,182,2746.5713435611724,-389.36895559904536
183,183,2762.710830180168,-319.1545612243861
184,184,2777.4787370250224,-303.6171057865411
185,185,2792.1439389710426,-332.1719868308734
186,186,2809.3746268341542,-380.19212273631183
187,187,2824.3922842440606,-304.0839913966578
188,188,2838.5017184910776,-379.85386522384243
189,189,2854.458534311056,-342.1462660305556
190,190,2873.6545918250085,-348.73428990559415
191,191,2891.684615895033,-344.67466354925534
192,192,2907.9962746460437,-362.8883959139855
193,193,2925.837733959198,-329.4957954145687
194,194,2943.338410986185,-294.62815702490843
195,195,2958.0049955070017,-412.66798797282115
196,196,2974.6188841240405,-301.1448260510703
197,197,2993.8597606930734,-326.7119893264014
198,198,3010.2943372972013,-307.71652897799197
199,199,3026.3659050149918,-378.4470969763754
200,200,3044.2299522399903,-355.9097222310771
201,201,3060.050018626213,-361.207137227127
202,202,3077.0254655680656,-350.1088945719466
203,203,3100.015929787159,-373.44238442050045
204,204,3116.324954622984,-385.32652577863985
205,205,3129.3863498260976,-332.8686716692752
206,206,3142.8346491281986,-350.76586867012657
207,207,3158.6443240220547,-342.58050336077355
208,208,3174.258409370184,-359.0778096670067
209,209,3192.75459073019,-377.7456845583782
210,210,3206.8169566822053,-323.0557497599966
211,211,3224.8730576159955,-371.077379222519
212,212,3241.452048731089,-340.74901468471285
213,213,3259.807166490078,-376.0547907503214
214,214,3278.943901451111,-362.78216581520127
215,215,3294.611288849115,-315.8829509640551
216,216,3309.085007497072,-320.5282790055061
217,217,3325.5837876710893,-345.1313605379521
218,218,3342.0288013970853,-378.7037942661521
219,219,3356.1346524631977,-333.27485366558005
220,220,3372.2796399691106,-348.74937369316075
221,221,3388.709511030197,-335.04681494886614
222,222,3404.268401159048,-313.1706736315006
223,223,3419.251657094002,-360.6459435617098
224,224,3433.1359853241443,-364.422521781068
225,225,3450.50351275301,-340.82502500036185
226,226,3465.7166272740365,-326.3899001720054
227,227,3482.0845248970986,-343.1008272562573
228,228,3497.1891847891807,-370.0796910665843
229,229,3512.0809093441962,-345.5114451845894
230,230,3529.3819204280376,-317.2160114051279
231,231,3544.3621292312146,-312.6568698709786
232,232,3559.1222883741857,-334.1952802138349
233,233,3574.5332712872028,-343.2272545665761
234,234,3590.336859189987,-348.44532033890573
235,235,3607.1387578852177,-370.1845980400372
236,236,3624.915351531982,-359.1826203507196
237,237,3642.779065499067,-335.67241660996683
238,238,3657.0781203432084,-355.2667205447953
239,239,3677.2772833681106,-320.20414942023564
240,240,3693.71693119216,-331.4338973599671
241,241,3710.100011116028,-343.6840563158806
242,242,3727.4541043531895,-344.25370653693284
243,243,3741.9015386559963,-349.70719791199576
244,244,3758.5555835211276,-308.3408649062612
245,245,3776.2550492091177,-318.4322729505059
246,246,3796.2340725011827,-345.7486579540038
247,247,3815.1470358681677,-411.12228367895966
248,248,3833.099348546028,-321.2513447074221
249,249,3850.039115298033,-363.04834932931146
250,250,3866.814954240084,-355.0412924284525
251,251,3885.1124262502194,-348.1513856009945
252,252,3901.455429239035,-354.39298811526373
253,253,3916.4651403431894,-325.66145832248264
254,254,3933.6513417890073,-340.50472584295824
255,255,3948.380239757061,-324.1399610505575
256,256,3965.4772824180127,-356.19199632182927
257,257,3982.9415218150616,-376.87747093490054
258,258,3997.2062143690587,-387.2286917461006
259,259,4012.431322973013,-365.3506916110973
260,260,4026.8803734281064,-367.41990462905534
261,261,4042.075649847984,-353.32360255023787
262,262,4055.014711283207,-395.866905968939
263,263,4072.813752515078,-316.91382332899553
264,264,4093.0769201540948,-351.3036223475053
265,265,4109.437542422056,-294.8294455721116
266,266,4130.084064441204,-356.62607264492704
267,267,4142.6251234240535,-371.5078558724793
268,268,4158.441954059124,-362.8571840712157
269,269,4177.934448354006,-330.09997029046406
270,270,4195.326436123133,-331.3294804952879
271,271,4214.744520999193,-324.1910581595894
272,272,4233.154954717159,-360.8509089816111
273,273,4249.307851045131,-330.6518292160245
274,274,4262.287627233982,-401.8033992203137
275,275,4279.446503904104,-354.5944688479667
276,276,4296.59309040904,-326.75228717267066
277,277,4315.946991670132,-329.37865964448974
278,278,4333.843836721182,-299.1096807879339
279,279,4347.119938475132,-362.793291221694
280,280,4363.07271053505,-351.73855160334557
281,281,4378.185817332983,-361.26524388473615
282,282,4392.902831404209,-347.1076029626129
283,283,4407.4350168612,-369.3145270407539
284,284,4426.762793873072,-341.381133738146
285,285,4439.155102689027,-343.23959465289585
286,286,4451.306749670983,-318.4927794968942
287,287,4468.0119452340605,-351.1942167848168
288,288,4484.073119051218,-370.70846957166304
289,289,4498.869745565176,-346.5102183297505
290,290,4512.983243966102,-366.3836128679537
291,291,4525.405584802151,-366.3560706285634
292,292,4540.9603024520875,-337.14225384695743
293,293,4555.897160850048,-367.95949451039587
294,294,4571.0076532011035,-332.50533592133354
295,295,4590.345688518048,-343.7244780764337
