samples, error
16,7.383312758382662
16,7.801954983395202
16,8.189253318684667
16,7.198452990726509
16,7.725462516097832
16,8.0349520759276
16,9.03353234123605
16,7.950560413504614
16,6.7412451346273565
16,7.111749687937871
8,7.688530626812152
8,6.960195599229873
8,8.010237477336698
8,7.973700049938258
8,7.616310744329263
8,7.537488970309609
8,9.353627353891548
8,7.467437971215435
8,8.141714078316035
8,7.948942489394646
4,6.709574632002985
4,7.443221188934587
4,6.842902055883504
4,7.631335602382625
4,8.39706131193643
4,8.368268877417554
4,7.860556886986236
4,9.27687796328419
4,6.770022341707555
4,11.088785195069365
2,7.580190864628153
2,8.888166866863052
2,7.109350527641902
2,7.8762009020714885
2,8.099409743565408
2,7.331211178398477
2,8.790054474281646
2,7.435344132211253
2,7.761455919859932
2,8.066606784923122
0,35.26747443827716
0,37.227174343837625
0,32.0286168387364
0,31.50359281421947
0,34.82710250680148
0,31.634343906627475
0,32.19041681559576
0,34.626268746903655
0,35.212981148940905
0,30.695156668870275
