samples, error
16,1.3737024700445355
16,1.4724577453898662
16,1.2544554990954633
16,1.2415650106489788
16,1.6694457943203405
16,1.3393060478335945
16,1.6710731044799425
16,1.5128696769979004
16,1.1993217956814874
16,1.1900304245920958
8,1.169131005512903
8,1.1523954695805454
8,1.5137036764581628
8,1.6085281585474591
8,1.4237925421749833
8,1.2937054022410714
8,1.7125404148680634
8,1.2262126419067205
8,1.3592871775618547
8,1.269761257252168
4,1.4353788021279097
4,1.3373499551568049
4,1.0849483112788387
4,1.2452531644948135
4,2.206318372512128
4,1.3612892518679534
4,1.3163345953154875
4,1.7690954306075364
4,1.219066973548964
4,1.759235379769594
2,1.4847832960344465
2,1.5341252243947041
2,1.1755863920861525
2,1.392873309281614
2,1.2601129116386636
2,1.2647088110195015
2,1.5540133203196833
2,1.271551180615812
2,1.3818009371103699
2,1.4544169380090848
