samples, error
16,18.565985844187857
16,21.490760112265203
16,26.27803582960025
16,24.953443691555638
16,24.369944132760608
16,21.0041472651323
16,28.063449754270295
16,31.687401692224217
16,20.009018662024985
16,18.260728504475644
8,19.411401118251877
8,17.56289281639898
8,23.309347101151847
8,25.115740723430363
8,27.4183427171112
8,26.391665378705397
8,30.033965318598923
8,18.47725523844124
8,24.367669311146724
8,24.162998107485627
4,25.13331990973023
4,22.343347619841225
4,17.378238086306343
4,19.149422014756315
4,29.238629035240844
4,31.48549793966994
4,16.373866270159112
4,24.51985819865544
4,22.181015898692053
4,27.043364984594398
2,31.35098611481388
2,29.85909878330373
2,26.968043735976543
2,13.580729713014652
2,19.841534261077932
2,12.932217205663195
2,27.05540318760998
2,21.8899878908244
2,27.770783711452644
2,23.47293347529746
