steps, error
1000,1.3737024700445355
1000,1.4724577453898662
1000,1.2544554990954633
1000,1.2415650106489788
1000,1.6694457943203405
1000,1.3393060478335945
1000,1.6710731044799425
1000,1.5128696769979004
1000,1.1993217956814874
1000,1.1900304245920958
500,2.9190240683133815
500,2.8198274546697806
500,2.800794620596308
500,2.867905983733726
500,2.7838951224986648
500,2.940463209902904
500,2.969003439534329
500,2.8561748224109915
500,2.9373976032800875
500,2.8088111815031356
250,2.883426840094167
250,2.845571303483921
250,2.9361560444513204
250,2.8574959145606376
250,2.856871932463069
250,2.8587903206378225
250,2.852241610131763
250,2.8726577996231404
250,2.9128259035991175
250,2.889470009799213
125,2.9286481893152385
125,2.9026554739665253
125,2.921460882472266
125,2.9123442535196316
125,2.9918283836200277
125,2.9742001612222446
125,2.921750821181937
125,2.92325789715779
125,2.9312975768648633
125,2.9144782864019483
