index,iter,time,objective
0,0,24.71248218345642,-13535.485088912537
1,1,49.13330554008484,-14212.897392778657
2,2,72.61035592842101,-13632.715357458452
3,3,96.20707823181152,-14862.673296868801
4,4,116.965942029953,-14571.48416590644
5,5,140.55472334480285,-16073.241850053659
6,6,161.263564409256,-14590.006504336605
7,7,181.85781949996948,-14575.208535975777
8,8,202.41300106048584,-13609.621441261843
9,9,226.0202571105957,-14892.871906303335
10,10,247.9032027053833,-13618.866429202957
11,11,263.17990844535825,-15095.536099674646
12,12,283.8978537826538,-15102.920299933292
13,13,302.24157347488404,-15573.115369320847
14,14,320.12570516014097,-11138.406595450826
15,15,340.82135294914247,-14538.369625136256
16,16,361.8073267021179,-14957.537045274395
17,17,382.9019265670776,-13434.634642887162
18,18,404.0209722614288,-13360.509121474344
19,19,428.1143720970154,-14023.916898617055
20,20,446.36630079841615,-13276.69776647212
21,21,470.95188001441954,-12334.688177647535
22,22,489.4306312599182,-15594.59805628634
23,23,510.77441482543946,-12206.115636008093
24,24,531.644652765274,-14441.53202453442
25,25,558.3977065143586,-14667.31000285549
26,26,576.9222026386261,-15042.853623718955
27,27,594.9529000854492,-15143.863675687462
28,28,615.8458403549195,-15531.56895791227
29,29,639.9753253116608,-14800.249143670313
30,30,661.0303285293579,-15923.612300717738
31,31,682.0981773471832,-14801.268998836633
32,32,703.235052061081,-13685.15802443889
33,33,721.4339514427185,-14173.126445613336
34,34,746.222438501358,-14477.197477697628
35,35,770.102087469101,-14336.009525110247
36,36,791.5342149009705,-15639.534144315869
37,37,812.395890657425,-13574.449740200536
38,38,836.1427954864502,-15556.165808954742
39,39,857.3539097137451,-14808.481162388343
40,40,878.6756627426147,-15573.042115567252
41,41,899.4428856182099,-14819.3939546959
42,42,922.7107266273498,-14037.742807202274
43,43,949.6883557415008,-14360.207288615871
44,44,970.3048953094483,-14730.898674015189
45,45,994.0163564052582,-12972.852400166215
46,46,1014.3477810134888,-15947.87405809504
47,47,1035.1247744789123,-14446.008660463849
48,48,1053.2948553562164,-15382.200053825509
49,49,1076.7260405330658,-15549.032753427979
50,50,1097.0476604061128,-15359.362504474586
51,51,1117.4796234912872,-15397.461860392243
