index,iter,time,objective
0,0,52.00169974899292,-922.022531437726
1,1,88.17703825604916,-817.6518245109247
2,2,129.87318819200993,-818.5044442350245
3,3,165.3362057890892,-845.5966787572717
4,4,206.8647557719946,-859.2019099092021
5,5,252.99242883503436,-850.2344589298212
6,6,300.121395539999,-874.7399671558128
7,7,335.2485852370262,-908.0099574308942
8,8,386.3663912420273,-806.9816666222022
9,9,432.5632640850544,-855.3248321516467
10,10,474.0350325371027,-829.5402753650865
11,11,521.1172757689953,-844.0578052496911
12,12,567.3637837750912,-857.8394511086007
13,13,608.4180805850029,-860.2428107677104
14,14,648.5211136820317,-841.6649588157646
15,15,695.3875791521073,-847.6410891233253
16,16,742.8615754400491,-883.1519440307494
17,17,778.4357366120815,-817.3831607676475
18,18,818.3314036310911,-880.4902989119222
19,19,859.298628066063,-818.7571034909527
20,20,895.7246045820713,-933.1859590291191
21,21,937.400948898077,-871.6103350758048
22,22,977.375969868064,-868.159847727528
23,23,1028.5552674241067,-883.5627861651801
24,24,1074.401935696006,-896.3195812208972
25,25,1116.249656488061,-852.2146187548869
26,26,1163.4047625590563,-816.4820384550502
27,27,1204.613656069994,-812.7834875267145
28,28,1245.0884236280917,-811.6022570542068
29,29,1291.431721386075,-862.3969178032709
30,30,1338.1323532800675,-864.7653443886337
31,31,1384.6818457670213,-820.4568926304242
32,32,1426.1177605450152,-849.1931619285274
33,33,1467.3411740980148,-891.772486678801
34,34,1507.777164923072,-921.1836575123527
35,35,1558.405909508109,-843.2165297281036
36,36,1604.778758329034,-846.5686100066262
37,37,1646.118706701994,-779.232217194109
38,38,1693.927810994029,-894.792401605954
39,39,1741.4866621330978,-818.7969721696674
40,40,1783.378604796052,-886.1747795382931
41,41,1830.6089708300829,-829.921015659999
42,42,1882.3978820461034,-837.4159866796281
43,43,1922.2292693550587,-824.1536066441656
44,44,1967.7491020179987,-869.9709269051418
45,45,2007.5209642421007,-829.4161238520254
46,46,2048.462836015105,-728.3932136421039
47,47,2094.580376216054,-859.2634193150266
48,48,2140.8978402420285,-858.8680332085603
49,49,2191.1471042000057,-839.3570458193113
50,50,2236.8597680290936,-826.0435200509197
51,51,2281.978230123043,-857.2657618834819
52,52,2317.4495893239973,-787.642523730376
53,53,2358.2223518021106,-785.039531363954
54,54,2404.164390237093,-875.6142185925868
55,55,2450.6577727190256,-839.9875595222876
56,56,2491.047157675028,-935.0948705454118
57,57,2531.215013011098,-792.3436243992642
58,58,2571.8685399540664,-887.2999805522772
59,59,2618.6596403321028,-825.8622778906248
60,60,2658.401566134095,-799.9480061156618
61,61,2703.603821611047,-875.8039804041302
62,62,2750.5600098040104,-858.940180170629
63,63,2791.092089054108,-901.7491904603753
64,64,2837.58594273901,-786.0285783632064
65,65,2883.489816617012,-807.615523829779
66,66,2929.666821151018,-843.1768670895293
67,67,2970.892077826023,-871.2834658521867
68,68,3016.9694519860745,-797.8786607411612
69,69,3067.869862000108,-762.6838502272606
70,70,3103.4444957140686,-860.1012220414659
71,71,3144.836423961997,-844.346290905223
72,72,3190.3253011660577,-867.0819937880076
73,73,3236.5689014480113,-897.3154002873302
74,74,3276.9544022990467,-794.0243291250939
75,75,3328.2315828080177,-840.1194719961698
76,76,3364.08732961607,-859.3770419869198
77,77,3399.6787255450486,-822.9004645259894
78,78,3440.3870450479985,-828.9063696639837
79,79,3486.297127633095,-840.3014612536178
80,80,3522.0768817520143,-910.5392768204972
81,81,3557.8161132400037,-824.2859584987013
82,82,3604.0392594341038,-857.1141202184639
83,83,3644.539640716076,-886.9160029436738
84,84,3696.1340675719975,-854.0781938121021
85,85,3736.82628046608,-894.2023376968067
86,86,3772.398241896033,-962.4430337501408
87,87,3807.960597298026,-884.1692519271277
88,88,3848.2617059350014,-927.0553925591978
89,89,3894.375358066082,-904.2713919228096
90,90,3934.912056502104,-866.5101210176487
91,91,3980.173367359042,-834.6719884443709
92,92,4020.605015295029,-808.2090023798157
93,93,4067.4580696530343,-863.7062018299048
94,94,4117.950936805009,-846.7876529081452
95,95,4157.823716562033,-846.8582529142368
96,96,4203.358039616108,-876.3726993309824
97,97,4249.110160665035,-823.7421712291849
98,98,4294.592692680001,-813.869207204774
99,99,4346.111274482012,-818.1104737958218
100,100,4392.556947214008,-782.5353797216952
101,101,4438.259366400003,-921.9871954200767
102,102,4479.6106322600845,-820.154494319387
103,103,4520.413567848086,-959.7082153995055
104,104,4555.570188754082,-838.2983456909635
105,105,4591.289677206039,-862.7773592198215
106,106,4631.626165082097,-824.8694292463604
107,107,4672.069255246997,-914.8767822835933
108,108,4718.367528731108,-870.0378803379444
109,109,4769.498683912038,-914.7334338300552
110,110,4815.759697336078,-867.6210419129688
111,111,4851.204667025089,-910.9013054825797
112,112,4897.558078209043,-883.1404422914644
113,113,4943.574228939056,-822.5466420145176
114,114,4983.95061343801,-911.1639320485064
115,115,5019.942575788021,-923.0009906669052
116,116,5060.389577665091,-927.5743109818849
117,117,5106.010943010092,-782.9682684941702
118,118,5146.7369533470865,-865.2568606738238
119,119,5182.876551542998,-895.3262333770593
120,120,5224.356604597092,-878.5848538853691
121,121,5270.393951215029,-885.0676306552054
122,122,5312.50638279903,-823.829260420889
123,123,5354.58666409111,-884.498631731783
124,124,5390.804851537108,-799.6858904229005
125,125,5432.0071777960065,-844.7464575916555
126,126,5477.592678768039,-872.6484137601062
127,127,5518.391149415016,-800.7904589999783
128,128,5559.122789251089,-884.4880264835728
129,129,5605.5211775770185,-883.7635490485134
130,130,5641.189599829077,-852.0278566247282
131,131,5681.455176156044,-883.0407784063121
132,132,5727.628765051008,-768.0794516367978
133,133,5768.892428885102,-923.2204552788907
