index,iter,time,objective
0,0,33.3401535320282,-13959.961419478488
1,1,63.10280673027039,-14215.743634059243
2,2,92.53506192588806,-14044.965845064053
3,3,121.9306381263733,-15115.833917781772
4,4,150.55638711929322,-13720.26683188967
5,5,179.77991478538513,-16604.061007413315
6,6,209.7390163230896,-11842.766037986514
7,7,238.90745670700073,-12639.839526301028
8,8,268.75093385505676,-15317.630446382589
9,9,297.3509120559692,-13397.050101862718
10,10,326.809773481369,-13085.245796516063
11,11,355.5969162483215,-10716.728735656903
12,12,384.7243612575531,-14695.338486671471
13,13,413.5548852481842,-13335.894730630022
14,14,443.1824110279083,-16276.933678556845
15,15,472.73607960510253,-15348.05013327818
16,16,501.66132241439817,-15360.556214681652
17,17,531.3464048290252,-12510.30612335412
18,18,560.9065914230347,-14896.764031722405
19,19,589.4417421016693,-16271.902449274605
20,20,618.7437258815766,-15842.609359311857
21,21,647.653369222641,-14670.28374921525
22,22,676.3158142662048,-16687.4524645372
23,23,705.8512091770173,-14811.2375324229
24,24,734.7944632167817,-15109.563270899553
25,25,764.1689049339294,-11952.560111626748
26,26,792.9244434223175,-13342.059173363963
27,27,821.5573144168853,-11419.266165497533
28,28,850.9725499725341,-14487.289532021405
29,29,880.3638066253662,-15470.705220061727
30,30,909.1286570549012,-15421.388915344452
31,31,937.9846391849518,-15364.630119449343
32,32,967.6716399574279,-15255.279307958352
33,33,996.9458792743683,-13773.29167632518
34,34,1026.4752743320464,-14841.040336709499
35,35,1055.4723323326111,-14989.008008583442
36,36,1085.3119720993043,-14328.600920775949
37,37,1114.723196861267,-15148.004887842282
38,38,1144.0479487247467,-12156.893571943892
39,39,1172.5423785991668,-11590.19035974169
40,40,1201.368425512314,-15595.516478352049
41,41,1230.530035079956,-16041.80475679434
42,42,1260.535136062622,-14553.89756579191
43,43,1289.8794382610322,-13860.035904373584
44,44,1319.075973499298,-14239.666663203836
45,45,1348.8987213478088,-13637.556959562464
46,46,1378.183696275711,-14754.142667898941
