samples, error
16,1.2288673667935521
16,1.1877089252889392
16,1.8985502860693062
16,1.356853598076179
16,1.2343383366903942
16,1.1596023855927011
16,1.314920863919456
16,1.4735642243907023
16,1.1820009514234304
16,1.1029585476966703
8,1.497390930693187
8,1.3245627478583832
8,1.8748016169059345
8,1.369714507204411
8,1.204041925568339
8,1.2826549635880886
8,1.389771979624535
8,1.4532574836675454
8,1.1140104540211884
8,1.4772342259485844
4,2.223069321183945
4,1.9544826496747643
4,1.6495118409044642
4,1.492956214436613
4,1.4084785501607384
4,1.4168585761271173
4,1.3154477503849353
4,1.288179245209661
4,1.6234795469629464
4,1.6443111074277967
2,1.4273682488982886
2,2.028223586260625
2,1.0099458356424258
2,1.268128749188719
2,1.90355427247161
2,1.1733060760686627
2,1.3553528066786111
2,1.1860498558749515
2,1.7334534229611982
2,1.7742433608587251
0,2.966028822219242
0,2.9394391614312427
0,2.9246943460987276
0,2.9293823239713106
0,2.9333328430945182
0,2.92984085476581
0,2.947783292569103
0,2.9107375942302447
0,2.9209725701415
0,2.934725646593919
