steps, error
1000,1.2288673667935521
1000,1.1877089252889392
1000,1.8985502860693062
1000,1.356853598076179
1000,1.2343383366903942
1000,1.1596023855927011
1000,1.314920863919456
1000,1.4735642243907023
1000,1.1820009514234304
1000,1.1029585476966703
500,2.7020985369577444
500,2.451567637325094
500,2.782368497968476
500,2.6365718018453648
500,2.6004354025786287
500,2.5485045947717357
500,2.6854032236696206
500,2.8633256565675462
500,2.74753346005012
500,2.524549829369303
250,2.8836485424915077
250,2.834735689917875
250,2.931840011628557
250,2.9854954694799223
250,2.8234040621229077
250,2.881189430661439
250,2.9780196047326877
250,2.815903853894892
250,2.8844688606281803
250,2.8694806795163483
125,2.967112849341624
125,2.9285327939336163
125,2.936216806361044
125,2.8791303898879947
125,2.911241800555054
125,2.90801856095012
125,2.931480100657128
125,2.9268349298809397
125,2.924999691891105
125,2.9157273711793352
