index,iter,time,objective
0,0,0.1867833510041237,-1031.1055660273905
1,2,0.48780229496955874,-1046.9520364667364
2,4,0.8077205489873887,-1141.8713912646442
3,6,1.1651670329570771,-1043.0250596707576
4,8,1.4753255609869957,-1127.3709290951358
5,10,1.7635429629683494,-1039.466321975666
6,12,2.059744762957096,-1053.6943694475597
7,14,2.362446076989174,-979.4510756368772
8,16,2.729037716984749,-988.3256936687484
9,17,2.9533653630018235,-1030.3923425848004
10,19,3.2024475889801978,-1040.3631274929755
