index,iter,time,objective
0,0,25.0646002869606,-91270.1940433982
1,1,44.32538287997246,-92836.79812258609
2,2,60.9374377219677,-88378.06905489354
3,3,79.81025824809075,-89211.0476733573
4,4,104.7955775449276,-75072.79792793305
5,5,127.2693368499279,-83460.31012665649
6,6,153.6201756169796,-87144.501154813
7,7,175.47657075691222,-85574.49444491621
8,8,198.20825758790969,-83595.05491849047
9,9,217.30276325893402,-85147.69538552975
10,10,236.1321447660923,-89566.86832667643
11,11,260.8139100239277,-86328.14821577499
12,12,282.4970159380436,-87113.82366852321
13,13,298.99255543208125,-80121.47332258124
14,14,321.1871497249603,-85847.83733474197
15,15,343.06930239892006,-83221.52887009473
16,16,361.76852796792986,-89543.65388367159
17,17,380.7757664129734,-77666.33248075876
18,18,400.02169106698034,-88920.07317673707
19,19,419.15494208812714,-74903.27510039233
20,20,438.2025720579624,-96720.82683931719
21,21,460.7558695409298,-87460.1949717263
22,22,485.62760091996194,-93542.0221038213
23,23,507.8972333419323,-70865.83747517515
24,24,530.1135945870876,-83401.83269475683
25,25,551.8500311639309,-87728.89686259805
26,26,573.8731548440456,-85094.61607244053
27,27,593.271827999115,-96477.78630597869
28,28,609.4640867640973,-96719.29272321891
29,29,625.611863599062,-81702.19931478488
30,30,650.4778462951183,-86848.72164210468
31,31,673.0507323260307,-74563.4635655959
32,32,689.5973400261402,-91607.37591447003
33,33,708.906632555008,-88317.00255929524
34,34,727.7419570069313,-88385.76802666398
35,35,744.1359037809372,-81193.08004542661
36,36,765.7576163210869,-94362.49693362575
37,37,787.4734437670708,-90925.46392782085
38,38,809.562736825943,-92420.62556595137
39,39,828.9078037409782,-96561.16566217129
40,40,848.0691883981228,-93569.34331181385
41,41,867.5506408100129,-85371.39240443577
42,42,889.1681242120266,-89063.41284958879
43,43,913.5252041869163,-85895.35121699616
44,44,936.3763162679672,-85378.31596081336
45,45,955.5723486011028,-79216.62703583628
46,46,972.0604453639984,-91364.8235299935
47,47,991.9804737589359,-80359.11019632145
48,48,1014.5525453410148,-102456.80372158693
49,49,1033.830469164133,-92965.63483876685
50,50,1050.6181181600093,-85906.08018343602
51,51,1069.7091820149421,-88255.8100060697
52,52,1085.96917348814,-91565.53840444892
53,53,1102.5080250809192,-81800.80312756108
54,54,1121.4754502489566,-84338.41010320997
55,55,1138.0300433750153,-98686.3616293654
56,56,1157.7251175200938,-81851.10847766236
57,57,1174.184766078949,-82389.87291941291
58,58,1193.312983520031,-94483.48495477902
59,59,1215.1088237240315,-86916.00034420656
60,60,1234.1643498289586,-92499.14764564845
61,61,1256.051457705021,-90387.621427266
62,62,1275.023701255083,-85373.53325576021
63,63,1297.2697778201102,-95757.17286280259
64,64,1319.3732789471148,-82707.72299217088
65,65,1338.2876198089123,-93569.52308171408
66,66,1357.2811414220332,-82680.25762123163
67,67,1378.9709680550097,-81420.5718243342
68,68,1398.2235083141327,-84119.06145426158
69,69,1417.8997891509532,-87869.97991357461
70,70,1436.9071564569474,-91568.66474909752
71,71,1456.427702553034,-104795.15240752249
72,72,1475.546868960142,-89384.07571612325
73,73,1494.5582955470086,-96369.05641052102
74,74,1519.2534772939682,-87763.36834209411
75,75,1538.5152666900158,-91255.02423019956
76,76,1560.6867654061318,-85600.30346919701
77,77,1580.1864442720414,-99373.32912927959
78,78,1601.8813719789982,-79222.61173161828
79,79,1618.1807255220413,-87276.0803063288
80,80,1639.8733372359277,-89051.70819754571
81,81,1656.2999744880199,-90886.34867958263
82,82,1672.761862899065,-94659.91493882076
83,83,1689.1725832750797,-83311.38573317618
84,84,1708.238135386944,-88769.15762231141
85,85,1727.3833898890018,-80195.02145907181
86,86,1749.6084379680158,-98627.15810808093
87,87,1765.8969053440094,-92136.80846933566
88,88,1787.627048238039,-92271.42687489587
89,89,1807.2494541361332,-87214.89694256774
90,90,1826.2970402801036,-91766.54347547214
91,91,1848.555590517044,-90076.14495783634
92,92,1864.8903289921284,-87477.80298232831
93,93,1884.1071302690507,-91833.64601450504
94,94,1903.9392092750072,-86731.48395213742
95,95,1922.9773072249889,-88435.1179325571
96,96,1945.2884192860126,-88001.02800394698
97,97,1967.3895231649876,-87732.42205316269
98,98,1991.9059909160137,-93480.0349454403
99,99,2014.1537950379848,-93241.84719049797
100,100,2033.1873633899688,-86384.82599310549
101,101,2052.200538555145,-98039.11235670651
102,102,2074.2954735839367,-85012.02765413704
103,103,2091.123679805994,-89407.85608811807
104,104,2107.444355868101,-87226.69577032114
105,105,2129.6533620560167,-76689.1259342535
106,106,2148.6452446861267,-92639.65854535774
107,107,2171.120584411144,-84479.65312832718
108,108,2195.971382420063,-81149.079498676
109,109,2212.2534976170064,-92423.29024588736
110,110,2231.1559382219316,-89617.31557145232
111,111,2247.437374619961,-90054.84561743565
112,112,2266.3854372811315,-96832.0736726161
113,113,2288.2691432271004,-83384.36411205478
114,114,2307.232582848072,-99145.24650892307
115,115,2329.136021420002,-83338.20175839531
116,116,2351.0185510151387,-85516.99110279114
117,117,2367.8630830011366,-92604.90799999451
118,118,2386.8449000210762,-88555.8924189013
119,119,2408.7470163600447,-84852.12604074822
120,120,2428.6509031469823,-94467.82491056302
121,121,2445.101232815981,-87814.58056351206
122,122,2464.684640984058,-92042.40302182853
123,123,2486.9688988981247,-87857.60211392431
124,124,2506.5814080970285,-91624.1732612833
125,125,2528.3459586379527,-86933.69245170732
126,126,2548.119076898098,-89417.30393700674
127,127,2567.7954653930665,-84754.05936166615
128,128,2586.8809264359475,-85907.7679426448
129,129,2608.5894660220147,-87179.47258793254
130,130,2628.2460636229516,-85790.59055369343
131,131,2650.1917951760292,-87900.39722917762
132,132,2670.001424993992,-91065.02742972205
133,133,2686.559828083992,-86027.91802796966
134,134,2708.3472110910416,-102270.14502689887
135,135,2725.0768519229887,-91840.94668308292
136,136,2747.4874723501207,-95668.42276524549
137,137,2766.7897611129283,-77955.44445922106
138,138,2786.024172645092,-90012.26432250037
139,139,2805.244167662144,-77720.10234689867
140,140,2827.2018685491084,-94532.25962867493
141,141,2850.017652132988,-85849.29516001855
142,142,2872.0844936540125,-93786.82356743274
143,143,2894.016238987923,-87091.78785153158
144,144,2915.903605148077,-79073.76571352355
145,145,2935.0005876140594,-89376.84215778306
146,146,2954.591786607027,-80863.18714017174
147,147,2970.944220901966,-96823.08129009043
148,148,2993.367919677019,-94873.34226364712
149,149,3012.7017643840313,-84899.69531225078
150,150,3032.0529872391226,-92395.85078555725
151,151,3048.8949346220493,-92285.10327959902
152,152,3065.2325162539482,-87812.44866533628
153,153,3084.459534646034,-90377.0035566416
154,154,3110.168303401947,-79182.07557000646
155,155,3129.508652939081,-88114.40007185272
156,156,3151.684779873133,-89244.96127603292
157,157,3168.217199095011,-101086.97857327673
158,158,3187.341127450943,-81894.36060071783
159,159,3212.684128987074,-94409.23060110517
160,160,3237.5402552189826,-87421.62702536938
161,161,3256.8605821380615,-95867.94716498918
162,162,3276.3340429189207,-79938.00918394947
163,163,3299.121140733004,-89338.093152407
164,164,3318.3885316450596,-84838.38690066437
165,165,3337.615985238075,-90303.59750107127
166,166,3362.6160462419984,-83253.2753672223
167,167,3381.5645436971186,-90871.50526942723
168,168,3401.0639372489454,-76542.62360126337
169,169,3417.4238868219854,-83617.61667829519
170,170,3439.287054204941,-99521.85069271518
171,171,3455.7818470790385,-87284.85307938192
172,172,3475.2197082509992,-78111.92721702767
173,173,3497.020387181997,-91920.42588963715
174,174,3518.7996768989565,-94751.49117280786
175,175,3540.976903033018,-90823.85246282457
176,176,3560.5335788390635,-94760.33231164832
177,177,3579.50073841095,-73121.66524704469
178,178,3601.653830313921,-97867.70409710812
179,179,3623.5910910329817,-70375.05822057677
180,180,3642.50652372694,-84231.15728317598
181,181,3664.6086852560043,-98652.61642704891
182,182,3683.461448658943,-90041.32103158969
183,183,3700.3864331560135,-87956.26898556433
184,184,3719.348294239044,-89488.53599847833
185,185,3740.9454713830946,-78502.16692490589
186,186,3757.2424579629896,-88714.40394559372
187,187,3779.5078236911295,-93136.66914969208
188,188,3795.7103373179434,-85890.184543413
189,189,3815.495006520033,-90151.21439626113
190,190,3837.402767697096,-87867.86489604127
191,191,3859.7093655910494,-84267.53810969502
192,192,3881.3405426769255,-90270.44879668573
193,193,3903.0046765699385,-88663.91303253734
194,194,3922.090330572128,-78889.15741072905
195,195,3941.850694560051,-99814.35343002253
196,196,3964.197481442928,-87536.1605372102
197,197,3983.53277415514,-99771.95786408935
198,198,4002.840957173109,-85029.43280580347
199,199,4025.378874915123,-81595.54608472712
200,200,4041.9166886069775,-93785.0801997271
201,201,4063.8152801759243,-86412.74849232961
202,202,4083.8557907021045,-84951.16386289048
203,203,4103.1856150200365,-86626.10979866007
204,204,4122.6063191099165,-93635.9188303756
205,205,4142.454373367071,-88499.02144741936
206,206,4167.1114577391145,-90653.8860136133
207,207,4189.716593992948,-85412.2416551787
208,208,4203.333140115023,-86208.11846221815
209,209,4225.913907769918,-83429.2425775695
210,210,4250.493754681111,-77799.79690123537
211,211,4269.781094835043,-91350.13598404806
212,212,4289.776966444016,-92048.30606376022
213,213,4311.620034857035,-88447.2387915298
214,214,4334.594541769027,-91080.83614046607
215,215,4353.852328799963,-94111.41364265887
216,216,4375.864869728089,-88219.50048425164
217,217,4398.047067657948,-88411.55169573854
218,218,4423.384042640924,-85997.09145937466
219,219,4442.46028350401,-89457.4141744602
220,220,4456.218803297997,-89898.4209709588
221,221,4472.728230931997,-78673.38660672659
222,222,4492.777418718099,-98870.80469362818
223,223,4509.35774685502,-90883.97426124704
224,224,4531.392728332997,-93152.53716101738
225,225,4550.683247180938,-91659.38165060425
226,226,4567.483976553917,-93577.72575977947
227,227,4586.448483966112,-90065.06778528268
228,228,4605.494094234943,-94715.62877672074
229,229,4627.7649787049295,-83599.60071555583
230,230,4646.934760443926,-88634.08821314492
231,231,4666.268380048036,-89130.58370658588
232,232,4688.964971074104,-88419.46585705211
233,233,4708.017593493939,-89644.50830335589
234,234,4733.090685389042,-74000.26518590216
235,235,4749.449920290947,-90851.9895051534
236,236,4771.338551191092,-76489.16748613915
237,237,4793.465931353092,-80378.9426970876
238,238,4815.080267910957,-93808.1146088895
239,239,4834.125555499077,-83740.85710660007
240,240,4853.153986329079,-88894.32649565626
241,241,4874.696409065962,-86658.45291488217
242,242,4893.815908971072,-97256.06829745827
243,243,4915.476666685105,-97354.01226012244
244,244,4934.3954458940025,-76615.15294925787
245,245,4956.059062266111,-86547.45383859637
246,246,4978.2554384460445,-91993.06094260974
247,247,5002.6719563710685,-86374.88372943194
248,248,5019.04567802,-85628.80761171173
249,249,5043.983423864126,-98402.82656254461
250,250,5066.331574967146,-90634.80372108289
251,251,5086.092467267036,-89367.54293075578
252,252,5102.575009027004,-89438.55409023308
253,253,5124.95446867609,-86987.85237540181
254,254,5144.17507331109,-91389.14591284587
255,255,5160.691222177982,-71972.50497629057
256,256,5182.463820148945,-95870.83967966576
257,257,5199.063208791971,-90863.25690879587
258,258,5220.990492927074,-90723.29741927197
259,259,5239.974601855994,-81090.21502128258
260,260,5259.117356118917,-88169.42670752728
261,261,5278.400700948953,-92903.80139232619
262,262,5303.023675522089,-86955.48840993442
263,263,5328.867822633982,-92630.17340182146
264,264,5348.167614009142,-87415.42916327513
265,265,5364.914756330013,-87372.90613982231
266,266,5381.409686615944,-86901.23333313671
267,267,5404.617208346129,-82317.07273865219
268,268,5423.832697572947,-90602.08776994032
269,269,5443.134873604059,-98482.42993442547
270,270,5459.806191355944,-85864.84512540427
271,271,5476.114617484092,-97944.82384160184
272,272,5498.069640583039,-93054.83412108268
273,273,5520.096082369089,-86092.62153771664
274,274,5536.516607604027,-83519.51158236417
275,275,5555.709843539,-91574.46411993337
276,276,5577.685750828981,-89545.35728167903
277,277,5594.18154124403,-79647.00485158294
278,278,5613.898545776129,-97588.75060134356
279,279,5635.8628294119835,-96247.79365424578
280,280,5657.944204633951,-88377.89280548539
281,281,5677.25845441699,-79847.75756080735
282,282,5696.62361570096,-86882.40952567286
283,283,5718.537241833926,-84027.67958489596
284,284,5737.784429062128,-87686.89632970764
285,285,5759.952806302071,-88878.50116559683
286,286,5779.364828313112,-95506.29816049739
287,287,5798.657704643965,-88862.47822558162
288,288,5821.263169342041,-91239.45954789853
289,289,5840.44688460207,-76669.95523286118
290,290,5860.118182244062,-80845.8061661588
291,291,5876.570921136141,-86971.41140455258
292,292,5893.122536087036,-96777.03266966219
293,293,5914.804156115055,-84178.97051782216
294,294,5931.109477270126,-91589.17284595342
295,295,5947.606577522993,-87204.95325285364
296,296,5972.498755231142,-79626.96124798726
297,297,5991.895221863031,-94099.93604395403
298,298,6011.439545694113,-78554.73700145386
299,299,6027.993557857991,-79993.53194616745
300,300,6050.298863014937,-98632.76148377638
301,301,6070.022624104023,-91599.62747420373
302,302,6088.984499752998,-91480.66937873143
303,303,6110.738906779051,-95097.52118068277
304,304,6127.868181450129,-94364.85140680705
305,305,6149.670858904124,-89813.7109800108
306,306,6168.6224591081145,-92095.72057717387
307,307,6187.931307497024,-79516.53887183548
308,308,6204.434873531103,-94989.23557178047
309,309,6220.931924535036,-77981.50271692946
310,310,6240.180004054069,-84452.16916085745
311,311,6256.829378293038,-90455.82666289169
312,312,6275.973992300033,-94244.85704417474
313,313,6297.961254138947,-79526.43672178505
314,314,6316.9454589610095,-88385.862631235
315,315,6336.272679821968,-84555.13731565606
316,316,6355.412195868015,-70707.2785663239
317,317,6371.887944668055,-87352.28187361837
318,318,6393.825845217943,-95285.65125091314
319,319,6415.977741984129,-89512.106458343
320,320,6435.043822334052,-83914.36430838922
321,321,6454.132373034954,-83268.24973477067
322,322,6470.469074815035,-93815.67926561403
323,323,6490.00434689498,-85275.8193219296
324,324,6512.23835444498,-97350.7247242579
325,325,6534.443749685049,-77211.51502756782
326,326,6550.705185615063,-92463.20409889956
327,327,6572.256823914051,-71353.7732120672
328,328,6591.280628118991,-95428.75824950045
329,329,6610.238497817039,-78254.80275179904
330,330,6632.116594084978,-97924.7336342463
331,331,6653.842322938919,-84655.18875718798
332,332,6672.964912070036,-101553.85319193715
333,333,6692.773826168061,-76030.56994848608
334,334,6712.259140557051,-76428.40595361652
335,335,6736.584035073042,-81691.92660770628
336,336,6755.759024416923,-90744.74900459667
337,337,6774.704662328005,-97813.91948846016
338,338,6796.954930540085,-85950.12481485539
339,339,6818.60828711009,-81452.43595620654
340,340,6838.472135200977,-93194.17241311635
341,341,6857.557524606943,-90315.67181364499
342,342,6876.827920139074,-87892.58273813344
343,343,6895.741977242947,-74424.51789259032
344,344,6918.078343701124,-88330.57905435361
345,345,6939.833826705933,-99609.95260232015
346,346,6961.737382280111,-91233.72109426015
347,347,6978.078641371012,-95893.07161880925
348,348,6999.84731715107,-85167.74609989637
349,349,7021.838102016925,-78055.7573877993
350,350,7040.995532105922,-79731.95578918456
351,351,7063.318880806923,-92157.5256516645
352,352,7076.853418753147,-92542.8105937981
353,353,7098.507976043939,-90162.76079059481
354,354,7114.791944050074,-96566.33084928527
355,355,7133.745266524076,-83760.1946450246
356,356,7153.384723503113,-93855.90255830213
357,357,7172.41177562809,-85165.27674544965
358,358,7192.2021748631005,-93209.06255895266
359,359,7211.465438504934,-91527.56798724315
360,360,7230.470263718128,-80623.79686229673
361,361,7249.489666769027,-92889.57718414391
362,362,7273.8933188109395,-89993.69351119315
363,363,7296.013152019024,-92495.56042545287
364,364,7317.741970210075,-91220.45229800469
365,365,7336.605282958984,-83651.22686745106
366,366,7358.942681787968,-89318.82388840146
367,367,7375.625160041094,-94566.7236193339
368,368,7400.391285968065,-84753.9338375666
369,369,7422.455274307967,-78547.89286205545
370,370,7444.412124032021,-93592.0673469971
371,371,7466.487276253939,-88741.0010685528
372,372,7487.968638271093,-84111.81923747991
373,373,7506.872094406128,-86219.41666996841
374,374,7531.912313015938,-81347.2157269899
375,375,7548.739808498144,-89722.82652447789
376,376,7565.260232598066,-96355.51478994777
377,377,7584.478647023916,-90306.59741894234
378,378,7603.607108045101,-91083.45927159522
379,379,7622.801776170016,-107064.44016967498
380,380,7641.909917130947,-84433.2782314416
381,381,7661.01640507412,-73982.09418267582
382,382,7680.822344844103,-86803.98735353058
383,383,7699.759441798926,-95739.22660969757
384,384,7716.2238214221,-70979.24597636615
385,385,7741.027127991914,-93853.94773214433
386,386,7760.763291542054,-76640.06490290289
387,387,7780.383452163935,-88295.98727401445
388,388,7799.461356621027,-98558.58288234091
389,389,7819.07154957509,-90031.74951781868
390,390,7835.500647292137,-93953.58835677593
391,391,7854.744777113914,-88377.70118490714
392,392,7873.706362505913,-85094.74926373777
393,393,7890.097059890032,-87578.84213193983
394,394,7912.45879318595,-100902.32125302113
395,395,7934.605730322122,-94385.92958384537
396,396,7950.958000339985,-98557.95502061423
397,397,7969.849318076133,-88647.22821831245
398,398,7988.7909310550685,-90481.85374711106
399,399,8005.106074967146,-91845.09214731187
400,400,8024.345455976963,-89569.85632224393
401,401,8043.481029344081,-90648.23779006617
402,402,8065.187852478028,-81718.89004329627
403,403,8084.468501431942,-86715.90485649912
404,404,8101.066230682135,-91621.1446472304
405,405,8120.333762151957,-84754.33987761357
406,406,8142.838235095978,-100329.00823546009
407,407,8167.232157119036,-92526.92115958162
408,408,8183.5610484600065,-100897.00343579936
409,409,8205.3164007411,-88128.10783257752
410,410,8231.436740905046,-78909.35441392443
411,411,8253.517594495059,-91771.88710556032
412,412,8273.188409894943,-89246.81244194947
413,413,8289.672932399988,-87830.80692317818
414,414,8306.042691478015,-91496.59842398034
415,415,8325.232549341918,-85719.7899163982
416,416,8343.845996546983,-83319.81500111538
417,417,8360.783049166917,-95370.80810856468
418,418,8382.706111657142,-88500.50525417352
419,419,8404.01052427411,-89608.4075133411
420,420,8422.923430416107,-86851.31970616069
421,421,8445.045383152008,-95786.70918451184
422,422,8464.187237517119,-95707.85389211672
423,423,8480.188027514934,-93188.17747968488
424,424,8501.940509496928,-80925.60526694826
425,425,8523.22849831295,-80306.40562621936
426,426,8539.75021172905,-93890.93539942698
427,427,8561.72506950593,-83032.68798510778
428,428,8580.423805211067,-90512.13680008879
429,429,8599.653826158046,-88730.91915215777
430,430,8621.521601767063,-91524.44036174048
431,431,8640.100702769994,-99453.81700857637
432,432,8661.912311862945,-89784.22747079348
433,433,8683.597118319034,-95664.89216142327
434,434,8702.315474978925,-83566.7709180278
435,435,8721.023991127968,-88198.8692420769
436,436,8742.37102820897,-98571.82219399103
